,x,y,color,label,src
0,5.11121823962,4.78937119042,#ffffff,"female, vaginal, participant, canal, auditory, external, barn, swallow, cervix, homo, introitus, swab, sapiens, gut, rustica, golden, hirundo, follow, bird, fluid",file:///Users/suzukishinya/Dropbox/MBA_sync/program/frontend/LEA/dist/data/0.png
1,-0.666338046628,-8.3773486927,#b56e49,"soil, field, terrestrial, compost, alfisol, grassland, temperate, agricultural, harpenden, rothamsted, broadbalk, histosol, spring, map, loam, hot, horizon, clay, fertilizer, america",file:///Users/suzukishinya/Dropbox/MBA_sync/program/frontend/LEA/dist/data/1.png
2,4.55015143733,-2.21957066814,#9cb75a,"insect, varians, gut, cephalotes, adult, ant, florida, monroe, compost, whole, key, colorado, bee, tabaci, bemisia, honey, pollen, israel, instar, mellifera",file:///Users/suzukishinya/Dropbox/MBA_sync/program/frontend/LEA/dist/data/2.png
3,5.45360724085,-2.30582376842,#ffffff,"mouse, gnotobiotic, fecal, pellet, kwashiorkor, recipient, gut, transplant, malawi, discordant, twin, malawian, america, mucosa, vancomycin, diet, ileal, knockout, healthy, cessation",file:///Users/suzukishinya/Dropbox/MBA_sync/program/frontend/LEA/dist/data/3.png
4,-7.04038733126,-2.43052187695,#eddbb3,"gut, feces, patient, america, male, female, participant, intestinal, arthritis, adult, homo, gallstone, taiyuan, fecal, sapiens, new, field, intervention, child, old",file:///Users/suzukishinya/Dropbox/MBA_sync/program/frontend/LEA/dist/data/4.png
5,3.69084600509,-2.93041138301,#394128,"spring, hot, new, terrestrial, archaeal, agricultural, sediment, ovis, aries, feed, gut, rumen, north, anthropogenic, palmerston, canada, geothermal, marine, lake, rape",file:///Users/suzukishinya/Dropbox/MBA_sync/program/frontend/LEA/dist/data/5.png
6,1.08197669824,2.87962041433,#dddbd8,"skin, america, dog, organismal, child, pet, adult, sibling, megaptera, novaeangliae, virome, nasopharyngeal, illness, febrile, male, healthy, cavity, offspring, female, participant",file:///Users/suzukishinya/Dropbox/MBA_sync/program/frontend/LEA/dist/data/6.png
7,2.05644403482,0.125225979877,#2f6362,"water, sea, marine, saline, ocean, polynya, amundsen, southern, mulatta, monkey, rhesus, biopsy, filter, female, station, dark, fiber, light, glass, may",file:///Users/suzukishinya/Dropbox/MBA_sync/program/frontend/LEA/dist/data/7.png
8,-4.07840252132,-2.69726674019,#92aabc,"marine, water, marsh, coastal, saline, salt, little, fecal, anthropogenic, sippewissett, sea, seawater, filter, gulf, lagoon, pump, oxic, submersible, subtropical, north",file:///Users/suzukishinya/Dropbox/MBA_sync/program/frontend/LEA/dist/data/8.png
9,3.19189136706,-0.206364354069,#726d64,"concrete, mountain, corrosion, biofilms, rocky, biofilm, spring, hot, terrestrial, season, sulfidic, column, geothermal, new, mile, french, canada, shale, mine, moorea",file:///Users/suzukishinya/Dropbox/MBA_sync/program/frontend/LEA/dist/data/9.png
